negative	주문 한 제품 잘못 보내 서 맞교환 해 준다고 해 놓 고 제품 수거 만 해 가 고 물건 은 오지 도 않 네요 5 일 째 ! ! 구매 확정 하 라고 알림 이나 오 고 이건 뭔지 ! ! 
negative	박스 안 에 아무런 포장 없이 제품 동봉 후 배송 됨 . 아무리 플라스틱 소재 병 이 라도 박스 안 에서 서로 부딪쳐 파손 될 우려 가 있 을 텐데 성의 없이 포장 됨 
negative	안 밝 습니다 
negative	생각 보다 가방 이 무지 크 네요 . .. 빨간 가방 인데 먼가 검 은 게 묻 어 있 고 . .. 냄새 도 좀 있 고 . .. 검정 살 껄 이란 후회 가 . .. ㅠㅠ 그래도 뭐 가방 집 있 고 이런 건 신기 했 어요 . . ㅋ 
negative	19 일 주문건 구매 확정 요구 이메일 은 어제 받 았 는데 , 앵글 은 오늘 도착 했 고요 . 조립 하 는데 , 마침 그저께 밤 에 ( 23 일 ) 주문 했 던 백색 합판 이 도착 했 네요 . 분명 상품 Q & A 에 한 번 확인 도 부탁 드렸 고 , 교환 까지 말씀 을 해 주 셨 기 에 신경 을 써 주 시 리라 믿 었 는데 , 너무 한다는 생각 이 듭니다 . 백색 합판 한 면 은 왜 저 런지 모르 겠 네요 . 합판 12 장 이 같 은 부분 에 저런 연필 자국 도 아니 고 떼 도 아닌 것 이 진하 게 남 아 있 습니다 . 화장품 리무 버 까지 써봐도 지워 지 지 않 고요 . 박박 문질러야 그나마 연해지 는 수준 인데 , 뭐 기운 빼 며 작업 할 수준 이 아닌 것 같 아서 포기 했 습니다 . 교환 받 자니 왔 다 갔 다 하 는 택배 기사 분 들 고생 에 , 부탁 을 드렸 음 에 도 전혀 나아지 지 않 은 물품 이 왔 는데 , 무의미 하 다 생각 합니다 . 예전 에 처음 구입 했 던 백색 합판 은 배송 중 의 상처 라고 생각 되 는 살짝 깨진 것 이외 엔 깨끗 하 고 이상 없 어서 한 장 만 뒤집 어서 사용 했 는데 , 그 때 상품 을 지금 도 사용 중 이 라 이번 에 크기 만 다른 것 을 주문 했 는데 , 섭섭 한 마음 이 크 네요 . 수고 하 세요 . 사진 은 클릭 해야 커지 고 , 가로세로 두 배 크기 의 원본 은 용량 관계 로 못 올렸 습니다 . 저장 퀄리티 도 떨어뜨렸 네요 . 
negative	너무 컷 어요 
negative	착용감 은 대박 불편 무겁 고 발바닥 아프 네요 
positive	튼튼 하 고 제품 하 자 없 어서 좋 아요 
negative	배송 너무 느려요 
positive	신발 너무 이쁘 구 특히 여름 에 도 신기 좋 은 소재 인 거 같 아요 쿠션 감 도 있 어요 ~ 
positive	배송 빠르 고 조아 요 저렴 한 가격 에 발코니 에 설치 하 니깐 좋 네요 내 구성 은 아주 좋 지 않 아 금방 파이 네요 그래도 편하 고 조아 요 
positive	좋 네 ? P ㅎㅎ ㅎㅎ 
negative	아이 스파 우치 무용지물 이 예요 . .. 심지어 나가 기 전 치즈 를 냉장고 에 넣 어 뒀 다 아이스 팩 에 넣 고 나갔 는데도 . ... 한 한 시간 반 후도 . .. 걍 가져 나간 거 랑 비슷 해요 . ㅜㅜ 
positive	조카 선물 로 잘 샀 습니다 . . 배송 도 빠르 고 제품 도 하 자 없 네요 
negative	세로 바 사이즈 가 롤 이 감긴 쪽 이 100 mm 더 크 게 와서 무지 짜증 남 쇠톱 사 서 재단 해서 조립 함 배송 하 기 전 다시 한 번 확인 하 는 센스 가 필요 함 
positive	그램 15 를 사용 하 다가 . .. 17 인치 노트북 을 찾 다 보 니 , 그램 17 과 울트라 기어 외 에 는 특별히 고를 만 한 노트북 이 없 더군요 . 조금 이 라도 성능 이 나 은 울트라 그램 을 선택 했 는데 성능 도 좋 고 무엇 보다 확장 성 이 좋 아서 무척 마음 에 듭니다 1 TB SSD 추가 하 고 램 16 GB 2 개 를 끼웠 더니 아주 든든 합니다 . 
positive	배송 은 조금 느리 지만 저렴 하 게 잘 구입 했 아요 
negative	향 이 너무 인위 적 인 허브 예요 ㅠㅠ 너무너무 진해 요 진짜 로 
positive	물건 좋 고 배송 도 좋 은데 사이즈 가 생각 보다 작 네요 
positive	추천 합니다 : ) 기름 제거 후 엔 뽀송뽀송 해져요 ! 
negative	쓰 기 도 불편 하 고 별로 라서 사용 하 기 실 네요 
negative	와 이거 무스 노 배송 오 는데 몇 날 몇 일 걸리 고 ㅡㅡ 연락 도 없 고 최악 이 었 음 역대 시킨 물건 중 워스트 1 임 
positive	포장 등등 만족 합니다 
negative	막 만들 어서 보내 나 봐요 
positive	우리 애 들 이 기다리 고 기다렸 던 보석 십자수 . . 도착 함 과 동시 에 시작 했 는데 너무너무 좋 아 하 네요 
negative	오픈 형 을 상세 페이지 그림 보 고 주문 했 는데 도착 한 걸 보 니 엄청 작 은 게 왔 어요 . 상세 사이즈 를 표시 해 두 셨 다고 하 는데 사진 은 그럼 삭제 해 주 셔야죠 . 헷갈리 게 . . 저만 한 오픈 형 사이즈 를 도대체 어디 에 쓰 라는 건지 모르 겠 네요 . 반품 비 내야 한대서 그냥 1300 원 버리 고 박스 도 버립니다 . 
positive	빠른 배송 감사 합니다 . 잘 받 았 어요 . 유용 하 게 잘 쓰일 거 같 네요 
negative	2 회 연속 너무 쉽 게 깨졌 어요 ㅜㅜ 속상하 네요 . . 
positive	한 겨울 에 신 기에 따뜻 하 고 좋 아요 ~ 
negative	사진 설명 보 고 혹해서 샀 는데 , 받 아 보 니 별다를 거 없이 그냥 찍찍 이 예요 ;; 거기 에 머리 말 은 다음 에 , 떼 어 내 려고 하 니까 찍찍 이 에 붙 은 머리 가 잘 안 떼 어 져서 고생 했 네요 ㅠㅠ 머리 결 도 상할 거 같 아서 한 번 쓰 고 안 써요 ㅠㅠ 
positive	조아 요 조아 요 조아 요 조아 요 
negative	완전 방수 가 아닌 것 같 네요 물걸레질 후 다시 닦 아 줘야 해요 . . 
positive	시 중 보다 싸 요 
positive	제품 좋 아요 ~ 
negative	많 은 후기 들 이 있 어 구매 했 습니다 . 그러나 부착 하 여 사용 해 본 결과 터치 감 이 정말 안 좋 습니다 . 중앙부 의 경우 일정 수준 의 압력 이 가해져야 하 며 , 엣지 ( 테두리 쪽 ) 부분 의 사실 거의 터치 되 지 않 습니다 . 혹시 잘못 붙인 거 아니 냐는 이야기 가 있 을 것 같 아 사진 첨부 합니다 . 필름 형태 의 터치 감 을 원하 실 경우 추천 하 지 않 습니다 . 
positive	저희 강 쥐 가 아주 잘 먹 네 욤 ^^ 
negative	정말 빨리 벗겨 져요 한두 시간 만 에 싹 다 벗겨지 네요 
positive	한 번 사용 하 고 화장품 관련 아 는 언니 가 오일 들어간 걸로 닦 으면 주름 안 생기 고 좋 은 거 라 해서 잘 쓰 고 있 는 데 다른 거 랑 비교 했 을 때 눈 닦 았 을 때 도 따갑 지 않 고 깔끔 하 고 잔여 감 없이 잘 닦여 요 아주 좋 아요 그래서 그때 부턴 이것 만 써요 
negative	등록 된 내용 은 열린 쇼핑 정보 에 자동 으로 노출 되 며 , 사이트 메인 페이지 , 검색 페이지 , 상품 페이지 , 메일 등 에 도 추가 노출 될 수 있 습니다 . 상대방 에 대한 욕설 , 비방 , 명예훼손 , 불 성실 한 내용 , 반복 문자 , 특정 효능 에 있 어 오해 의 소지 가 있 는 내용 을 담 고 있 거나 저작 권 / 초상권 등 타인 의 권리 를 침해 하 는 이미지 사용 하 면 삭제 될 수 있 습니다 . 다만 , 상품 에 대한 불만 , 판매자 에게 불리 한 내용 이 라는 이유 만 으로 는 삭제 하 지 않 습니다 . 게시 글 에 회원 님 의 이메일 , 휴대폰 번호 와 같 은 개인 정보 의 입력 은 금지 되 어 있 으며 , 발생 하 는 모든 피해 에 대해 사이트 는 책임지 지 않 습니다 . 
negative	괜히 샀 어요 . 등받이 가 너무 불편 해요 . . 벌 받 는 기분 이 랄까 . .. 
negative	일 처리 가 최악 이 에요 
negative	끝 마무리 가 올 이 풀려 실 이 너덜너덜 봉제 는 삐뚤 어 져서 뭔가 싶 었 음 여기 서 두 개 샀 는데 오히려 더 싼 우산 이 더 봉제 가 잘 되 어 있 었 음 
positive	저렴 하 게 구매 해서 좋 네요 
positive	배송 빠르 고 저렴 하 게 구입 했 어요 . 많이 파 시 고 사업 번창 하 세요 . ^^ 
positive	어두운색 이 암막 효율 이 좋 다고 하 여 어두운 색 구매 하 였으나 . .. 역시 나 네요 이중 암막 이 아니 라 빛 투과 가 많 습니다 . 사실 분 들 은 참고 하 세요 
positive	좋 아 여 , 본품 말 고 추가 로 3 통 더 받 았 는데 향도 여러 가지 로 섞 어 주 셨 네요 , 잘 쓸 게요 
negative	상품 에 문제 가 있 어요 어떻 케 불량 을 파나 요 기장 을 줄여서 교환 도 못했 어요 
negative	1 + 1 이 라 샀 는대 아이 방 창문 에 이거 한 개론 부족 해서 한 세트 또 샀 네요 
positive	원래 사용 하 던 제품 인데 저렴 하 게 잘 샀 습니다 배송 도 엄청 빠르 고 좋 네요 재 구매 의사 있 습니다 
negative	제품 은 보 시 는 바 와 같 고 내 구성 에 문제 가 있 어요 . 설치 하 고 물 을 트 는 순간 목 부분 에서 물 이 쏟아져 나오 네요 . 다시 물 을 잠그 고 보 니 목 부분 이 나사 형태 로 되 어 있 어 돌려 잠그 기 는 했 지만 금방 망가질 듯 싶 어요 . 그냥 싼 맛 에 반품 않 고 ㅆ려고요 
negative	반품 시킬까 한참 고민 하 다가 귀찮 아서 그냥 신 습니다 . 가죽 제단 제대로 안 하 고 만들 었 네요 . . 
positive	4 번 째 구매 입니다 고급 스럽 네요 ~ 고장 안 나 기 를 ~^^ 
positive	솔직히 쌈 . 근데 크기 가 한 치수 작 게 나온 듯 
positive	싸 게 구매 해서 좋 네요 ~ 휴대용 도 주 셔서 감사 해요 
negative	버들 꽃 피치 가 안 왔 어요 . 상품 검수 잘 해 주 세요 . 제대로 안 보내 줘서 실망 이 에요 
positive	가격 착하 고 배송 빠르 고 친절 하 시 네요 항상 믿 고 먹 고 있 습니다 . 
positive	빠른 배송 감사 합니다 . 잘 쓰 겠 습니다 . 
negative	아기 가 잘 먹 어서 이것 만 시켜요 
positive	안 싸 디만 맛있 어여 
negative	솔직히 뒤 에 복사뼈 부분 이 라 해야 하나 거기 가 너무 아파요 교환 이나 반품 하 기 귀찮 아서 안 했 는데 너무 아파서 칼 로 조금 그 부분 갉 아 내 면 안 아플까 했 는데 그래도 아프 네요 신발 은 참 이쁜데 
positive	예뻐요 ~~^~^ 
negative	균형 은 좋 은데 삐걱 소리 가 너무너무 나 서 상당히 거슬리 네요 . 참고 로 62 킬로그램 인데 도 소리 납니다 . . 
negative	너무 커요 크기 을 표시 했 으면 좋 겠 어요 
positive	괜찮 네요 . 잘 쓸게요 . 
positive	학생 용 으로 구입 했 어요 ! 잃어버려도 부담 없 는 저렴 한 가격 에 요 . 
positive	이사 하 면서 매트 를 구입 했 는데 정말 완전 만족 스럽 습니다 가볍 고 설치 하 기 도 쉽 고 청소 도 매우 용이 하 네요 거실 장판 이랑 거의 비슷 해서 위화감 이 전혀 없 어요 같이 깐 건 줄 ~~~ ㅎㅎㅎ 
positive	다양 한 기능 이 있 어 좋 네요 ~ 고장 안 나 고 오래 쓸 수 있 음 좋 겠 어요 ~ 
positive	용량 도 크 고 샘플 도 챙겨 주 어서 좋 아요 . 늘 쓰 던 거 라 잘 쓰 고 있 습니다 
negative	생각 보다 세정력 ? 이 좋 지 않 아서 . .. 별로 에요 
positive	여러 가지 모양 의 스톤 이 넘 넘 이뻐요 ㅎㅎ 많이 파 세요 
positive	동영상 감상 용 으로 구매 했 는데 화면 도 크 고 잘 되 네요 배송 도 빠르 구요 
positive	손 고자 인데 예쁘 고 편하 게 잘 말 립니 다 ! 
positive	매번 반복 구매 하 고 있 어요 . 좋 아요 
positive	칫솔 헤드 가 커서 조금 놀람 요 잘 닦이 기 만 하 면 좋 아요 
negative	배송 개 느림 . 택배 회사 바꾸 던가 책임 소지 를 똑바로 하 길 바람 . 
negative	괜찮 네요 . 네 ~ 
positive	하 고 나 면 뿌듯 합니다 
negative	싸 긴 하나 레몬 향 으로 시켰 는데 딴 게 왔 네요 
negative	연결 잭 있 는 부분 이 녹슬 었 네요 . .. 불 은 들어오 니 작동 은 되 는 거 같 은데 . .. 찜찜 하 네요 . .. 
negative	대한 통운 으로 보내 지 마세요 . 택배 분실 되 서 체중 계 는 구경 도 못했 네요 
negative	노트 9 쓰 고 있 고 받 은 제품 도 노트 9 입니다 고 XX 액정 쓰 다가 하루 만 에 금가 서 이걸로 바꿨 는데 훨씬 잘 붙 어요 붙이 기 도 쉬워요 먼지 제거 스티커 주 신 것 도 감사 합니다 다만 큰 문제점 이 있 습니다 노트 9 액정 보다 제품 에서 비춰 지 는 공간 이 작 습니다 액정 일부 를 가려 요 위 아랫면 은 기본 이 고 4 곳 꼭 지점 마다 가려 지 는 바람 에 전체 화면 으로 무언가 를 보 거나 엣지 라이팅 으로 알람 이 오 면 굉장히 거슬립니다 . ... 자기 는 그런 거 별로 신경 안 쓴다 그냥 보호 되 고 붙이 기 쉬우면 된다 하 시 면 추천 해 드려요 . .. 노트 8 액정 크기 에 기준 을 맞춘 것 같 네요 
positive	싸 고 조아 요 ~~ 
positive	우리 외사촌 조카 돌반 지 주 려고 급하 게 주문 했 은데 배송 도 빨랐 고 , 디자인 도 생각 한 그 이상 만큼 이뻐서 만족 합니다 . 좋 은 선물 될 수 있 도록 도움 주 셔서 감사 합니다 ^^ 
positive	아이 가 땀 이 많 아 매일 감 아도 머리 에 쉰내 가 났 는데 산뜻 해요 
positive	갤럭시 노트 케이스 를 사 려고 여기저기 사이트 마다 가격 비교 도 하 고 디자인 도 비교 하 며 계속 서핑 만 하 다 보물 을 찾 았 답니다 가격 대비 넘 넘 맘 에 들 고 추가 선물 까지 주 니 더더욱 기분 좋 았 답니다 그래서 추가 1 개 더 신청 했 답니다 . 왜냐면 울 직원 이 필요 하 다 해서 제 가 대신 주문 해 주 는 거 예여 . . 
positive	디자인 깔끔 하 고 이뻐요 생각 보다 좀 작 네요 
positive	저 렴 히 잘 구매 했 네요 ㅎ 
positive	완전 좋 아요 완전 좋 아요 
negative	명성 에 비해 물건 너무 약합니다 그냥 바닥 에 한 번 떨어졌 는데 다 깨져 버리 네요 만 원 짜리 강화 유리 랑 별 차이 없 는 듯 터치 감 은 좀 더 괜찮 지만 내구 성 은 별루 입니다 가격 대비 별루 입니다 . 
negative	이건 별로 예요 긴 길이 로 샀 는데 도 짧 고 / 줄줄 잘 내려가 요 ㅠㅠ 
negative	매번 주문 했었 는데요 이번 엔 포장지 도 은박 에서 종이 로 바뀌 고 . . 13 일 에 발송 했 는데 , 16 일 에 도착 했 네요 날 도 더운데 트럭 에 실려서 이리저리 안 상했 나 모르 겠 네요 배송 도 느리 고 . . 냉동 보관 했 다가 먹 는데 , 여기 껀 은박 포장 이 라서 여기 서 만 주문 했 는데 , 이제 종이 로 바뀌 어서 얼리 면 젖 어서 못 쓰 겠 네요 . . 
positive	저렴 하 게 잘 구매 한 거 같 네요 ~ 
negative	송염 사고 나 서 사건 터졌 어요 ㅠ 
positive	신발 예쁘 고 품질 도 좋 아요 ~ 득템 했 네요 ~ 화면 보다 실제 가 더 예쁘 네요 ~ 
positive	몇 년 째 계속 쓰 고 있 어요 ! 스킨 묻혀서 피부 정돈 하 고 양쪽 볼 에 잠깐 올려 두 고 스킨케어 해요 ㅎ 좋 아요 배송 도 빨랐 습니다 ㅎ 
positive	홀스 특가 를 보 고 바로 질렀 습니다 비염 이 있 는 터 라 홀스 한 번 씩 먹 어 주 먼 코 가 뻥 뚫려서 좋 더라구요 
positive	잘 받 았 습니다 . 포장 과 배송 도 괜찮 습니다 . 상품 의 질도 맘 에 듭니다 . 번창 하 세요 . 
